Anomaly_ID,Customer_ID,Transaction_ID,CDR_IDs,IPDR_IDs,Scenario_Type,Difficulty,Source_Scope,Bank_Anomaly,CDR_Anomaly,IPDR_Anomaly,Amount_Anomaly,Time_Anomaly,Beneficiary_Anomaly,Velocity_Anomaly,Call_Anomaly,Device_Anomaly,Location_Anomaly,Network_Anomaly,Injected_Signals,Is_Suspicious
ANOM000000,100000181,ATM25030208XOPY,,,ODD_HOUR_TRANSACTION,MEDIUM,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM000001,100000008,ATM250204RIWZXF,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,EASY,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM000002,100000037,TXN250128XCKDGW,,,AMOUNT_VELOCITY_SPIKE,EASY,BANK_ONLY,1,0,0,1,0,0,1,0,0,0,0,Amount;Velocity,1
ANOM000003,100000287,TXN250122DZTBWV,,,TRANSACTION_BURST,EASY,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM000004,100000031,TXN250301NDHNAW,,,NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM000005,100000218,TXN250113314REH,,,AMOUNT_PLUS_NEW_BENEFICIARY,MEDIUM,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount;Beneficiary,1
ANOM000006,100000061,TXN250123Y3XUGT,CDR202600060000,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000007,100000103,ATM250129AE9487,CDR202600060001,,CALL_THEN_HIGH_VALUE_TRANSFER,MEDIUM,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount;Call,1
ANOM000008,100000118,TXN250122O5CIG2,CDR202600060002,,CALL_THEN_NEW_BENEFICIARY,EASY,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Beneficiary;Call,1
ANOM000009,100000122,ATM2501032C5FIQ,CDR202600060003;CDR202600060004;CDR202600060005;CDR202600060006,,REPEATED_CALLS_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000010,100000388,TXN2501167X0M1M,,IPDR202600050000;IPDR202600050001;IPDR202600050002;IPDR202600050003;IPDR202600050004;IPDR202600050005;IPDR202600050006;IPDR202600050007;IPDR202600050008;IPDR202600050009;IPDR202600050010;IPDR202600050011;IPDR202600050012;IPDR202600050013;IPDR202600050014;IPDR202600050015;IPDR202600050016,NETWORK_SESSION_BURST_AROUND_TRANSACTION,HARD,BANK_CDR_IPDR,0,0,1,0,0,0,0,0,0,0,1,Network,1
ANOM000011,100000037,TXN250321IRT0B1,CDR202600060007,IPDR202600050017,UNUSUAL_LOCATION_CONTEXT,HARD,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,0,1,0,Location,1
ANOM000012,100000393,TXN250108534CS4,CDR202600060008,IPDR202600050018,NEW_DEVICE_AROUND_TRANSACTION,MEDIUM,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,1,0,0,Device,1
ANOM000013,100000317,TXN250314DW8NAY,CDR202600060009,,IMSI_IMEI_PAIR_NOVELTY,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,0,1,0,0,Device,1
ANOM000014,100000241,ATM250320DYOJK8,CDR202600060010,IPDR202600050019;IPDR202600050020;IPDR202600050021;IPDR202600050022;IPDR202600050023;IPDR202600050024,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,HARD,BANK_CDR_IPDR,1,1,1,1,0,0,0,1,0,0,1,Amount;Call;Network,1
ANOM000015,100000194,TXN250322XTU7Z0,,,ODD_HOUR_TRANSACTION,HARD,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM000016,100000062,TXN2501179W71AY,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,EASY,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM000017,100000211,ATM250208QLUIMZ,,,AMOUNT_VELOCITY_SPIKE,HARD,BANK_ONLY,1,0,0,1,0,0,1,0,0,0,0,Amount;Velocity,1
ANOM000018,100000314,ATM250301SAP2HP,,,TRANSACTION_BURST,MEDIUM,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM000019,100000045,TXN250202IIELQ4,,,NEW_BENEFICIARY,EASY,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM000020,100000387,TXN250209OK1TDE,,,AMOUNT_PLUS_NEW_BENEFICIARY,EASY,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount;Beneficiary,1
ANOM000021,100000389,TXN2502089IKJWW,CDR202600060011,,UNUSUAL_CALL_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000022,100000021,TXN2502202YKNBE,CDR202600060012,,CALL_THEN_HIGH_VALUE_TRANSFER,HARD,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount;Call,1
ANOM000023,100000085,ATM250126YG24X0,CDR202600060013,,CALL_THEN_NEW_BENEFICIARY,HARD,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Beneficiary;Call,1
ANOM000024,100000346,TXN250327FW0NMF,CDR202600060014;CDR202600060015;CDR202600060016;CDR202600060017;CDR202600060018,,REPEATED_CALLS_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000025,100000195,TXN250116Z3H7HA,,IPDR202600050025;IPDR202600050026;IPDR202600050027;IPDR202600050028;IPDR202600050029;IPDR202600050030;IPDR202600050031;IPDR202600050032;IPDR202600050033;IPDR202600050034;IPDR202600050035;IPDR202600050036;IPDR202600050037;IPDR202600050038;IPDR202600050039;IPDR202600050040;IPDR202600050041,NETWORK_SESSION_BURST_AROUND_TRANSACTION,HARD,BANK_CDR_IPDR,0,0,1,0,0,0,0,0,0,0,1,Network,1
ANOM000026,100000381,TXN250225D37CTM,CDR202600060019,IPDR202600050042,UNUSUAL_LOCATION_CONTEXT,MEDIUM,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,0,1,0,Location,1
ANOM000027,100000057,TXN250310LMLXC3,CDR202600060020,IPDR202600050043,NEW_DEVICE_AROUND_TRANSACTION,EASY,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,1,0,0,Device,1
ANOM000028,100000134,TXN2501185PETMF,CDR202600060021,,IMSI_IMEI_PAIR_NOVELTY,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,0,1,0,0,Device,1
ANOM000029,100000144,TXN2503311VCY1Z,CDR202600060022,IPDR202600050044;IPDR202600050045;IPDR202600050046;IPDR202600050047;IPDR202600050048;IPDR202600050049,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,HARD,BANK_CDR_IPDR,1,1,1,1,0,0,0,1,0,0,1,Amount;Call;Network,1
ANOM000030,100000185,TXN250212C6YFM1,,,ODD_HOUR_TRANSACTION,HARD,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM000031,100000267,ATM250120QNWLCH,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,EASY,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM000032,100000350,TXN250220SS0FFL,,,AMOUNT_VELOCITY_SPIKE,HARD,BANK_ONLY,1,0,0,1,0,0,1,0,0,0,0,Amount;Velocity,1
ANOM000033,100000036,TXN250120PW7D3Z,,,TRANSACTION_BURST,HARD,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM000034,100000050,TXN250107ZXZQW9,,,NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM000035,100000243,TXN2501020HJCB4,,,AMOUNT_PLUS_NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount;Beneficiary,1
ANOM000036,100000250,TXN250326EA6GU8,CDR202600060023,,UNUSUAL_CALL_BEFORE_TRANSACTION,HARD,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000037,100000302,TXN250109UIX691,CDR202600060024,,CALL_THEN_HIGH_VALUE_TRANSFER,EASY,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount;Call,1
ANOM000038,100000120,ATM250330N7BTR4,CDR202600060025,,CALL_THEN_NEW_BENEFICIARY,MEDIUM,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Beneficiary;Call,1
ANOM000039,100000023,ATM250206CJ9GXI,CDR202600060026;CDR202600060027;CDR202600060028;CDR202600060029;CDR202600060030,,REPEATED_CALLS_BEFORE_TRANSACTION,HARD,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000040,100000281,TXN250228U1EHS4,,IPDR202600050050;IPDR202600050051;IPDR202600050052;IPDR202600050053;IPDR202600050054;IPDR202600050055;IPDR202600050056;IPDR202600050057;IPDR202600050058;IPDR202600050059;IPDR202600050060;IPDR202600050061;IPDR202600050062;IPDR202600050063;IPDR202600050064;IPDR202600050065;IPDR202600050066;IPDR202600050067;IPDR202600050068;IPDR202600050069;IPDR202600050070;IPDR202600050071;IPDR202600050072;IPDR202600050073;IPDR202600050074;IPDR202600050075;IPDR202600050076;IPDR202600050077;IPDR202600050078,NETWORK_SESSION_BURST_AROUND_TRANSACTION,EASY,BANK_CDR_IPDR,0,0,1,0,0,0,0,0,0,0,1,Network,1
ANOM000041,100000080,ATM250210R6GUPW,CDR202600060031,IPDR202600050079,UNUSUAL_LOCATION_CONTEXT,MEDIUM,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,0,1,0,Location,1
ANOM000042,100000019,TXN250329SC6RLU,CDR202600060032,IPDR202600050080,NEW_DEVICE_AROUND_TRANSACTION,MEDIUM,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,1,0,0,Device,1
ANOM000043,100000176,ATM250203WALKH3,CDR202600060033,,IMSI_IMEI_PAIR_NOVELTY,HARD,BANK_CDR,0,1,0,0,0,0,0,0,1,0,0,Device,1
ANOM000044,100000113,ATM2502246X69XH,CDR202600060034,IPDR202600050081;IPDR202600050082;IPDR202600050083;IPDR202600050084,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,EASY,BANK_CDR_IPDR,1,1,1,1,0,0,0,1,0,0,1,Amount;Call;Network,1
ANOM000045,100000185,TXN250316WI22NT,,,ODD_HOUR_TRANSACTION,MEDIUM,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM000046,100000086,ATM250219X7M558,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,MEDIUM,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM000047,100000052,ATM250207L5N4EC,,,AMOUNT_VELOCITY_SPIKE,MEDIUM,BANK_ONLY,1,0,0,1,0,0,1,0,0,0,0,Amount;Velocity,1
ANOM000048,100000264,TXN250126SOMH10,,,TRANSACTION_BURST,EASY,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM000049,100000341,ATM250212RW10PR,,,NEW_BENEFICIARY,MEDIUM,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM000050,100000359,ATM250108N9C9Z0,,,AMOUNT_PLUS_NEW_BENEFICIARY,MEDIUM,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount;Beneficiary,1
ANOM000051,100000222,ATM250212Z6VKXM,CDR202600060035,,UNUSUAL_CALL_BEFORE_TRANSACTION,HARD,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000052,100000072,TXN250102Z5XU6Q,CDR202600060036,,CALL_THEN_HIGH_VALUE_TRANSFER,EASY,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount;Call,1
ANOM000053,100000256,TXN250127Z72DRJ,CDR202600060037,,CALL_THEN_NEW_BENEFICIARY,EASY,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Beneficiary;Call,1
ANOM000054,100000393,TXN250319UZDWPV,CDR202600060038;CDR202600060039;CDR202600060040;CDR202600060041;CDR202600060042,,REPEATED_CALLS_BEFORE_TRANSACTION,HARD,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM000055,100000161,TXN250219TUL9YS,,IPDR202600050085;IPDR202600050086;IPDR202600050087;IPDR202600050088;IPDR202600050089;IPDR202600050090;IPDR202600050091;IPDR202600050092;IPDR202600050093;IPDR202600050094;IPDR202600050095,NETWORK_SESSION_BURST_AROUND_TRANSACTION,HARD,BANK_CDR_IPDR,0,0,1,0,0,0,0,0,0,0,1,Network,1
ANOM000056,100000356,TXN250225CFG2CW,CDR202600060043,IPDR202600050096,UNUSUAL_LOCATION_CONTEXT,HARD,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,0,1,0,Location,1
ANOM000057,100000318,TXN250205HKQEUX,CDR202600060044,IPDR202600050097,NEW_DEVICE_AROUND_TRANSACTION,MEDIUM,BANK_CDR_IPDR,0,1,1,0,0,0,0,0,1,0,0,Device,1
ANOM000058,100000067,ATM250202KL05FW,CDR202600060045,,IMSI_IMEI_PAIR_NOVELTY,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,0,1,0,0,Device,1
ANOM000059,100000212,TXN250303KXB07H,CDR202600060046,IPDR202600050098;IPDR202600050099;IPDR202600050100;IPDR202600050101;IPDR202600050102;IPDR202600050103;IPDR202600050104,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,HARD,BANK_CDR_IPDR,1,1,1,1,0,0,0,1,0,0,1,Amount;Call;Network,1
ANOM000060,100000064,TXN250218ZSSWP0,,,ODD_HOUR_TRANSACTION,MEDIUM,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM000061,100000387,TXN250201UBRWPY,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,MEDIUM,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM000062,100000089,ATM250313TG6NYD,,,AMOUNT_VELOCITY_SPIKE,EASY,BANK_ONLY,1,0,0,1,0,0,1,0,0,0,0,Amount;Velocity,1
ANOM000063,100000060,TXN250224Y0ZMXU,,,TRANSACTION_BURST,EASY,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
