Transaction_ID,CDR_ID,Relationship_Type,Time_Difference_Seconds,Is_Correlated
ATM250101QHVP3E,,NO_MATCH,,0
TXN250101VFHJ4N,,NO_MATCH,,0
ATM250101ODHECF,,NO_MATCH,,0
TXN2501018YBTM5,,NO_MATCH,,0
TXN250101GWH62W,,NO_MATCH,,0
TXN250101B31QUY,,NO_MATCH,,0
TXN250101G7AA2A,,NO_MATCH,,0
ATM250101OMAYXH,,NO_MATCH,,0
TXN250101RTLT5O,,NO_MATCH,,0
TXN250101VQ3SP7,,NO_MATCH,,0
TXN250101X15U31,,NO_MATCH,,0
ATM25010159ZMC7,,NO_MATCH,,0
TXN250101G70I18,,NO_MATCH,,0
TXN25010161XVSM,,NO_MATCH,,0
ATM250101T60WDY,,NO_MATCH,,0
TXN2501015U49JR,,NO_MATCH,,0
ATM250101HL5FCS,,NO_MATCH,,0
TXN250101DJ3F92,,NO_MATCH,,0
ATM250101F695PT,CDR202600000046,SENDER_OUTGOING_ACTIVITY,109,1
TXN250101CGAJSS,,NO_MATCH,,0
ATM2501018BPM3Y,,NO_MATCH,,0
TXN250101M90AEM,,NO_MATCH,,0
ATM2501014398YB,CDR202600000050,SENDER_OUTGOING_ACTIVITY,-392,1
ATM250101ZIWEN5,,NO_MATCH,,0
ATM250101UYA3VJ,,NO_MATCH,,0
ATM250101K67ZVV,,NO_MATCH,,0
TXN250101SI2O3Q,,NO_MATCH,,0
TXN250101KR8MA5,,NO_MATCH,,0
TXN2501010FYBS8,,NO_MATCH,,0
TXN250101T3A5KT,,NO_MATCH,,0
TXN25010143D9G1,,NO_MATCH,,0
TXN250101A5JTGG,CDR202600000066,RECEIVER_OUTGOING_ACTIVITY,5,1
ATM2501014F6K96,,NO_MATCH,,0
TXN250101K836UV,,NO_MATCH,,0
ATM250101QLP3P7,,NO_MATCH,,0
TXN250101FN17DQ,CDR202600000084,RECEIVER_INCOMING_ACTIVITY,813,1
ATM25010180W7KO,,NO_MATCH,,0
TXN250101A56O9T,CDR202600000091,SENDER_OUTGOING_ACTIVITY,34,1
TXN2501010365G6,,NO_MATCH,,0
TXN250101V852V9,,NO_MATCH,,0
ATM250101A2KXA0,,NO_MATCH,,0
TXN2501012ZWA1B,,NO_MATCH,,0
ATM2501010H2RN2,,NO_MATCH,,0
TXN2501011YMI73,CDR202600000104,RECEIVER_INCOMING_ACTIVITY,230,1
TXN250101O427BP,,NO_MATCH,,0
ATM2501017TG4K9,,NO_MATCH,,0
TXN250101YP29Q6,,NO_MATCH,,0
TXN250101TBMHPH,,NO_MATCH,,0
ATM2501010BTR7C,,NO_MATCH,,0
ATM250101BIMKDV,,NO_MATCH,,0
TXN250101G8RCMU,,NO_MATCH,,0
ATM250101X7K9XJ,,NO_MATCH,,0
TXN250101ZJ2I1G,,NO_MATCH,,0
TXN250101FSGJSR,CDR202600000121,RECEIVER_INCOMING_ACTIVITY,202,1
TXN250101YE04LJ,,NO_MATCH,,0
TXN250101Z23DZR,CDR202600000111,SENDER_OUTGOING_ACTIVITY,-687,1
ATM250101C4LC6P,,NO_MATCH,,0
TXN250101MXT16W,,NO_MATCH,,0
ATM250101CMOLP2,,NO_MATCH,,0
ATM2501011FRDRJ,CDR202600000125,SENDER_INCOMING_ACTIVITY,-368,1
ATM250101XZXYKU,,NO_MATCH,,0
TXN250101PISJ7V,,NO_MATCH,,0
TXN250101HC07Z7,CDR202600000132,SENDER_OUTGOING_ACTIVITY,-274,1
TXN250101FCB7AO,,NO_MATCH,,0
ATM250101ORCS2Z,,NO_MATCH,,0
TXN25010169DT6T,,NO_MATCH,,0
ATM250101I7MXPF,,NO_MATCH,,0
TXN250101X8NDP8,,NO_MATCH,,0
TXN250101L5DG7E,,NO_MATCH,,0
ATM250101VU87FR,,NO_MATCH,,0
TXN250101WY6G3B,CDR202600000167,SENDER_OUTGOING_ACTIVITY,132,1
TXN250101WO3FYB,,NO_MATCH,,0
ATM250101WA0PFN,,NO_MATCH,,0
TXN250101FYPX4W,,NO_MATCH,,0
TXN2501018WMHF4,CDR202600000174,SENDER_OUTGOING_ACTIVITY,365,1
TXN2501016AQLYF,,NO_MATCH,,0
TXN250101305RHG,,NO_MATCH,,0
TXN250101NHEP2I,,NO_MATCH,,0
TXN250101XJ15QN,CDR202600000171,SENDER_INCOMING_ACTIVITY,-730,1
TXN250101DFRMK6,,NO_MATCH,,0
TXN2501016M2RRD,,NO_MATCH,,0
TXN2501016CDO2B,CDR202600000208,RECEIVER_OUTGOING_ACTIVITY,596,1
TXN250101A7WBCR,,NO_MATCH,,0
TXN250101EMLCRQ,CDR202600000184,RECEIVER_INCOMING_ACTIVITY,-836,1
TXN250101SI0X5A,,NO_MATCH,,0
ATM25010151XF7W,,NO_MATCH,,0
ATM250101S8YWFT,CDR202600000193,SENDER_INCOMING_ACTIVITY,-679,1
TXN2501019Q6TLP,CDR202600000196,SENDER_INCOMING_ACTIVITY,-540,1
TXN250101MUWXUD,,NO_MATCH,,0
ATM250101D9IZ1Z,,NO_MATCH,,0
ATM250101XQAJSC,CDR202600000223,SENDER_INCOMING_ACTIVITY,227,1
TXN250101DTZFKC,CDR202600000233,RECEIVER_INCOMING_ACTIVITY,638,1
ATM25010177W70U,,NO_MATCH,,0
TXN250101VONN7L,,NO_MATCH,,0
TXN250101VSHJZL,CDR202600000230,RECEIVER_OUTGOING_ACTIVITY,-204,1
TXN250101H1G3G3,,NO_MATCH,,0
TXN250101ACX7DC,CDR202600000229,SENDER_OUTGOING_ACTIVITY,-495,1
TXN2501016P0AXA,CDR202600000254,RECEIVER_OUTGOING_ACTIVITY,809,1
TXN250101FOYXX7,,NO_MATCH,,0
TXN250101PB7GKW,CDR202600000253,RECEIVER_INCOMING_ACTIVITY,349,1
ATM250101G7040H,CDR202600000264,SENDER_INCOMING_ACTIVITY,855,1
TXN2501012MOS3K,,NO_MATCH,,0
ATM250101DA7I52,,NO_MATCH,,0
ATM250101IXE7FB,,NO_MATCH,,0
TXN25010179IDMB,,NO_MATCH,,0
TXN2501015IIA6G,,NO_MATCH,,0
TXN250101CKBXWR,,NO_MATCH,,0
ATM250101Q73IFU,,NO_MATCH,,0
ATM250101CWW16P,,NO_MATCH,,0
ATM250101V64AYG,,NO_MATCH,,0
TXN250101EZT7E4,,NO_MATCH,,0
ATM250101Y7LP69,,NO_MATCH,,0
ATM250101DR2DU2,,NO_MATCH,,0
ATM250101DPKAIE,CDR202600000285,SENDER_OUTGOING_ACTIVITY,0,1
TXN250101H2Z2EW,,NO_MATCH,,0
TXN250101BBMIGC,,NO_MATCH,,0
TXN250101XNVYGH,CDR202600000286,RECEIVER_OUTGOING_ACTIVITY,-445,1
TXN25010194SKQ9,,NO_MATCH,,0
TXN250101I6TIKL,,NO_MATCH,,0
TXN250101VOWW5I,,NO_MATCH,,0
ATM25010189JZ4I,,NO_MATCH,,0
ATM250101RY32UW,,NO_MATCH,,0
TXN250101QIL0TT,,NO_MATCH,,0
TXN250101TDOPSA,,NO_MATCH,,0
ATM250101J7JX12,,NO_MATCH,,0
TXN250101J0OXX7,,NO_MATCH,,0
ATM250101Z6NXTQ,,NO_MATCH,,0
TXN250101644C3X,,NO_MATCH,,0
TXN2501013T5J0B,,NO_MATCH,,0
TXN2501016SF67G,,NO_MATCH,,0
ATM250101WVR2VL,,NO_MATCH,,0
TXN250101OVX9UB,,NO_MATCH,,0
TXN250101XZW1B0,,NO_MATCH,,0
ATM2501015MJQHL,,NO_MATCH,,0
TXN250101HE27S3,,NO_MATCH,,0
TXN250101AUPUH4,CDR202600000335,RECEIVER_OUTGOING_ACTIVITY,-383,1
TXN25010104H63Q,,NO_MATCH,,0
ATM2501019A3EPB,,NO_MATCH,,0
TXN250101YSCA4D,CDR202600000351,RECEIVER_INCOMING_ACTIVITY,252,1
TXN250101EWYK1F,,NO_MATCH,,0
TXN2501015IYC32,,NO_MATCH,,0
TXN250101WM2WYC,,NO_MATCH,,0
ATM250101O435XJ,CDR202600000353,SENDER_INCOMING_ACTIVITY,-370,1
TXN250101VJ4Q82,,NO_MATCH,,0
TXN250101R3ZLMF,CDR202600000362,SENDER_OUTGOING_ACTIVITY,71,1
TXN250101FX78KP,,NO_MATCH,,0
TXN250101R6ON85,CDR202600000365,SENDER_OUTGOING_ACTIVITY,-690,1
TXN250101BR9VMP,,NO_MATCH,,0
TXN250101YV7EVO,,NO_MATCH,,0
TXN250101UUEYO8,CDR202600000378,SENDER_OUTGOING_ACTIVITY,-115,1
ATM250101ZKH6Q8,,NO_MATCH,,0
ATM2501011SNUM0,,NO_MATCH,,0
TXN250101PZ4QC0,CDR202600000389,RECEIVER_OUTGOING_ACTIVITY,118,1
TXN25010187PX00,,NO_MATCH,,0
ATM250101444PDM,,NO_MATCH,,0
TXN250101M6CVMX,,NO_MATCH,,0
TXN250101MO0LDF,,NO_MATCH,,0
ATM250101ZNTQR9,CDR202600000382,RECEIVER_OUTGOING_ACTIVITY,-696,1
TXN250101QLL9Q3,,NO_MATCH,,0
TXN250101TQIHJD,,NO_MATCH,,0
ATM25010166IMAH,,NO_MATCH,,0
TXN250101AWTEC6,,NO_MATCH,,0
TXN250101K0Q169,CDR202600000397,RECEIVER_OUTGOING_ACTIVITY,-750,1
TXN250101FX6XF7,,NO_MATCH,,0
TXN250101RWQZSC,CDR202600000422,SENDER_OUTGOING_ACTIVITY,811,1
ATM250101LYMRFH,,NO_MATCH,,0
TXN250101Y3QOVP,CDR202600000420,SENDER_OUTGOING_ACTIVITY,499,1
TXN2501017TG47I,CDR202600000414,RECEIVER_INCOMING_ACTIVITY,-712,1
ATM250101ZWD68U,,NO_MATCH,,0
ATM250101VHWUOS,,NO_MATCH,,0
TXN25010111X23X,,NO_MATCH,,0
ATM250101CNN00H,,NO_MATCH,,0
ATM250101VDKDS1,,NO_MATCH,,0
ATM250101YI2F1K,CDR202600000427,RECEIVER_OUTGOING_ACTIVITY,25,1
TXN2501016297EU,,NO_MATCH,,0
TXN250101K8CI4C,,NO_MATCH,,0
TXN2501019T8DQO,,NO_MATCH,,0
TXN2501019M7RGC,,NO_MATCH,,0
TXN250101Q4RIOO,,NO_MATCH,,0
ATM250101FFQHAQ,,NO_MATCH,,0
ATM250101M3B8XT,,NO_MATCH,,0
ATM250101SZNWWF,,NO_MATCH,,0
ATM250101ZSVK9G,,NO_MATCH,,0
ATM2501013ZH6B1,,NO_MATCH,,0
ATM2501016W93IP,,NO_MATCH,,0
ATM250101V40XXF,,NO_MATCH,,0
TXN250101M0V7S0,,NO_MATCH,,0
TXN250101WTVJAS,,NO_MATCH,,0
TXN250101WB3O7X,CDR202600000463,RECEIVER_OUTGOING_ACTIVITY,472,1
TXN250101LEKDAM,,NO_MATCH,,0
TXN250101ZEH8ZD,,NO_MATCH,,0
TXN250101FBLQA6,,NO_MATCH,,0
TXN250101RENLMK,,NO_MATCH,,0
TXN250101WG73DA,,NO_MATCH,,0
TXN2501010E0MVF,,NO_MATCH,,0
ATM250101OWO50O,,NO_MATCH,,0
ATM25010147Q433,,NO_MATCH,,0
ATM2501010HPOCZ,,NO_MATCH,,0
TXN250101HW75Z0,,NO_MATCH,,0
TXN250101W2W4Z1,,NO_MATCH,,0
ATM250101DRH7U1,,NO_MATCH,,0
TXN250101HTI8II,CDR202600000487,SENDER_INCOMING_ACTIVITY,330,1
TXN250101NSTJHP,,NO_MATCH,,0
ATM250101CAVT57,,NO_MATCH,,0
TXN2501011BHLSF,,NO_MATCH,,0
ATM250101OUCSAT,,NO_MATCH,,0
TXN25010105FJXL,CDR202600060490,SENDER_OUTGOING_ACTIVITY,-120,1
TXN2501014EAQ7B,,NO_MATCH,,0
