CDR_ID,IPDR_ID,Relationship_Type,Time_Difference_Seconds,Is_Correlated
CDR202600000000,,NO_MATCH,,0
CDR202600000001,,NO_MATCH,,0
CDR202600000002,,NO_MATCH,,0
CDR202600000003,,NO_MATCH,,0
CDR202600000004,,NO_MATCH,,0
CDR202600000005,,NO_MATCH,,0
CDR202600000006,,NO_MATCH,,0
CDR202600000007,,NO_MATCH,,0
CDR202600000008,,NO_MATCH,,0
CDR202600000009,,NO_MATCH,,0
CDR202600000010,,NO_MATCH,,0
CDR202600000011,,NO_MATCH,,0
CDR202600000012,,NO_MATCH,,0
CDR202600000013,,NO_MATCH,,0
CDR202600000014,,NO_MATCH,,0
CDR202600000015,,NO_MATCH,,0
CDR202600000016,,NO_MATCH,,0
CDR202600000017,,NO_MATCH,,0
CDR202600000018,,NO_MATCH,,0
CDR202600000019,,NO_MATCH,,0
CDR202600000020,,NO_MATCH,,0
CDR202600000021,,NO_MATCH,,0
CDR202600000022,,NO_MATCH,,0
CDR202600000023,,NO_MATCH,,0
CDR202600000024,,NO_MATCH,,0
CDR202600000025,,NO_MATCH,,0
CDR202600000026,,NO_MATCH,,0
CDR202600000027,,NO_MATCH,,0
CDR202600000028,,NO_MATCH,,0
CDR202600000029,,NO_MATCH,,0
CDR202600000030,IPDR202600000028,PRIMARY_SESSION,-463,1
CDR202600000031,,NO_MATCH,,0
CDR202600000032,,NO_MATCH,,0
CDR202600000033,,NO_MATCH,,0
CDR202600000034,,NO_MATCH,,0
CDR202600000035,,NO_MATCH,,0
CDR202600000036,,NO_MATCH,,0
CDR202600000037,,NO_MATCH,,0
CDR202600000038,,NO_MATCH,,0
CDR202600000039,,NO_MATCH,,0
CDR202600000040,,NO_MATCH,,0
CDR202600000041,,NO_MATCH,,0
CDR202600000042,,NO_MATCH,,0
CDR202600000043,,NO_MATCH,,0
CDR202600000044,,NO_MATCH,,0
CDR202600000045,,NO_MATCH,,0
CDR202600000046,,NO_MATCH,,0
CDR202600000047,,NO_MATCH,,0
CDR202600000048,,NO_MATCH,,0
CDR202600000049,,NO_MATCH,,0
CDR202600000050,,NO_MATCH,,0
CDR202600000051,IPDR202600000046,PRIMARY_SESSION,810,1
CDR202600000052,,NO_MATCH,,0
CDR202600000053,,NO_MATCH,,0
CDR202600000054,,NO_MATCH,,0
CDR202600000055,,NO_MATCH,,0
CDR202600000056,,NO_MATCH,,0
CDR202600000057,IPDR202600000048,PRIMARY_SESSION,274,1
CDR202600000058,,NO_MATCH,,0
CDR202600000059,,NO_MATCH,,0
CDR202600000060,,NO_MATCH,,0
CDR202600000061,,NO_MATCH,,0
CDR202600000062,,NO_MATCH,,0
CDR202600000063,,NO_MATCH,,0
CDR202600000064,,NO_MATCH,,0
CDR202600000065,,NO_MATCH,,0
CDR202600000066,,NO_MATCH,,0
CDR202600000067,,NO_MATCH,,0
